date,bodyweight,lift,weight,reps,set_type,notes,sleep
2026-01-06,82,bench,45,5,t1,,7
2026-01-06,82,bench,52.5,5,t1,,7
2026-01-06,82,bench,60,3,t1,,7
2026-01-06,82,bench,55,5,t1,,7
2026-01-06,82,bench,52.5,5,t1,,7
2026-01-06,82,bench,50,5,t1,,7
2026-01-06,82,bench,47.5,5,t1,,7
2026-01-06,82,bench,45,5,t1,,7
2026-01-06,82,bench,42.5,5,t1,,7
2026-01-06,82,ohp,25,8,t2,,7
2026-01-06,82,ohp,27.5,6,t2,,7
2026-01-06,82,ohp,30,6,t2,,7
2026-01-06,82,ohp,30,6,t2,,7
2026-01-06,82,ohp,30,6,t2,,7
2026-01-06,82,ohp,27.5,8,t2,,7
2026-01-06,82,ohp,25,8,t2,,7
2026-01-06,82,ohp,22.5,8,t2,,7
2026-01-08,82,deadlift,80,5,t1,,6.5
2026-01-08,82,deadlift,90,3,t1,,6.5
2026-01-08,82,deadlift,100,1,t1,,6.5
2026-01-08,82,deadlift,95,3,t1,,6.5
2026-01-08,82,deadlift,90,3,t1,,6.5
2026-01-08,82,deadlift,85,3,t1,,6.5
2026-01-08,82,deadlift,80,5,t1,,6.5
2026-01-08,82,deadlift,75,5,t1,,6.5
2026-01-08,82,deadlift,100,5,t1_amrap,programmed 1+,6.5
2026-01-08,82,front_squat,50,6,t2,,6.5
2026-01-08,82,front_squat,55,5,t2,,6.5
2026-01-08,82,front_squat,60,3,t2,,6.5
2026-01-08,82,front_squat,60,5,t2,,6.5
2026-01-08,82,front_squat,60,7,t2,,6.5
2026-01-08,82,front_squat,60,4,t2,,6.5
2026-01-08,82,front_squat,55,6,t2,,6.5
2026-01-08,82,front_squat,50,8,t2,,6.5
