date,bodyweight,lift,weight,reps,set_type,notes,sleep
2025-03-01,78.5,bench,27.5,3,testing,1RM testing day,7.5
2025-03-01,78.5,bench,35,3,testing,,7.5
2025-03-01,78.5,bench,42.5,3,testing,,7.5
2025-03-01,78.5,bench,50,3,testing,,7.5
2025-03-01,78.5,bench,55,3,testing,,7.5
2025-03-01,78.5,bench,62.5,1,testing,,7.5
2025-03-01,78.5,bench,67.5,1,testing,,7.5
2025-03-01,78.5,bench,70,1,testing,max attempt,7.5
2025-03-01,78.5,squat,35,3,testing,1RM testing day,7.5
2025-03-01,78.5,squat,45,3,testing,,7.5
2025-03-01,78.5,squat,55,3,testing,,7.5
2025-03-01,78.5,squat,62.5,3,testing,,7.5
2025-03-01,78.5,squat,72.5,3,testing,,7.5
2025-03-01,78.5,squat,80,1,testing,,7.5
2025-03-01,78.5,squat,85,1,testing,,7.5
2025-03-01,78.5,squat,90,1,testing,max attempt,7.5
2025-03-01,78.5,deadlift,45,3,testing,1RM testing day,7.5
2025-03-01,78.5,deadlift,55,3,testing,,7.5
2025-03-01,78.5,deadlift,65,3,testing,,7.5
2025-03-01,78.5,deadlift,77.5,3,testing,,7.5
2025-03-01,78.5,deadlift,87.5,3,testing,,7.5
2025-03-01,78.5,deadlift,100,2,testing,,7.5
2025-03-01,78.5,deadlift,105,2,testing,,7.5
2025-03-01,78.5,deadlift,110,1,testing,max attempt,7.5
2025-03-01,78.5,ohp,17.5,3,testing,1RM testing day,7.5
2025-03-01,78.5,ohp,22.5,3,testing,,7.5
2025-03-01,78.5,ohp,27.5,3,testing,,7.5
2025-03-01,78.5,ohp,32.5,3,testing,,7.5
2025-03-01,78.5,ohp,35,3,testing,,7.5
2025-03-01,78.5,ohp,40,1,testing,,7.5
2025-03-01,78.5,ohp,42.5,2,testing,,7.5
2025-03-01,78.5,ohp,45,1,testing,max attempt,7.5
2025-03-02,77.7,bench,40,8,t1,,7.5
2025-03-02,77.7,bench,47.5,6,t1,,7.5
2025-03-02,77.7,bench,52.5,4,t1,,7.5
2025-03-02,77.7,bench,52.5,4,t1,,7.5
2025-03-02,77.7,bench,52.5,4,t1,,7.5
2025-03-02,77.7,bench,50,5,t1,,7.5
